0x2468ACF0, decimal: 610839792
0x12345678, decimal: 305419896
0x00000000, decimal: 00000000
0x00000000, decimal: 00000000
0x00000000, decimal: 00000000
0x00000004, decimal: 00000004
0x00000000, decimal: 00000000
0x00000000, decimal: 00000000
0x00000000, decimal: 00000000
0x00000000, decimal: 00000000
0x00000000, decimal: 00000000
0x00000000, decimal: 00000000
0x00000000, decimal: 00000000
0x00000004, decimal: 00000004
